problem_id,domain,problem,previous_steps,current_step,next_step,step_index,label,error_type,explanation,source
quad-5-4-2876,algebra,Решите квадратное уравнение x^2 -9x +20 = 0.,,Дискриминант D = (-9)^2 - 4*1*20 = 2.,,1,incorrect,calculation_error,Дискриминант посчитан неверно.,toy_synthetic_baseline
quad-5-4-2876,algebra,Решите квадратное уравнение x^2 -9x +20 = 0.,D = 1.,"В итоге, x = 5 или x = 4.",,2,correct,none,Корни соответствуют уравнению.,toy_synthetic_baseline
arith-26-22-5315,arithmetic,Вычислите 26 + 22.,,Можно записать сумму чисел.,26 + 22 = 48.,1,correct,none,План вычисления корректен.,toy_synthetic_baseline
arith-26-22-5315,arithmetic,Вычислите 26 + 22.,Можно записать сумму чисел.,Сразу видно получаем ответ.,Ответ: 48.,2,suspicious,invalid_transition,Шаг слишком общий и не содержит вычисления.,toy_synthetic_baseline
arith-26-22-5315,arithmetic,Вычислите 26 + 22.,Можно записать сумму чисел.,26 + 22 = 49.,Ответ: 49.,2,incorrect,calculation_error,Правильная сумма равна 48.,toy_synthetic_baseline
arith-26-22-5315,arithmetic,Вычислите 26 + 22.,26 + 22 = 48.,Ответ: 49.,,3,incorrect,wrong_final_answer,Финальный ответ не совпадает с вычислением.,toy_synthetic_baseline
int-1-4258,calculus,Найдите неопределённый интеграл ∫ x^1 dx.,,Используем степенную формулу интегрирования.,,1,correct,none,Выбрана подходящая формула.,toy_synthetic_baseline
int-1-4258,calculus,Найдите неопределённый интеграл ∫ x^1 dx.,Используем степенную формулу интегрирования.,∫ x^1 dx = x^2/2 + C.,,2,correct,none,Интеграл найден верно.,toy_synthetic_baseline
int-1-4258,calculus,Найдите неопределённый интеграл ∫ x^1 dx.,Используем степенную формулу интегрирования.,∫ x^1 dx = 1x^0 + C.,,2,incorrect,wrong_formula,Использована формула производной вместо интеграла.,toy_synthetic_baseline
calc-9689,calculus,Найдите производную функции f(x)=x^2 sin x.,,Используем правило произведения.,"(x^2)'=2x, (sin x)'=cos x.",1,correct,none,Правило выбрано верно.,toy_synthetic_baseline
calc-9689,calculus,Найдите производную функции f(x)=x^2 sin x.,Используем правило произведения.,Производная sin x равна -cos x.,,2,incorrect,wrong_formula,Производная sin x равна cos x.,toy_synthetic_baseline
calc-9689,calculus,Найдите производную функции f(x)=x^2 sin x.,Используем правило произведения.,После дифференцирования получаем итоговую формулу.,,2,suspicious,invalid_transition,Не показаны производные множителей и подстановка в правило.,toy_synthetic_baseline
calc-9689,calculus,Найдите производную функции f(x)=x^2 sin x.,Используем правило произведения.,"Следовательно, f'(x)=2x sin x.",,3,incomplete,invalid_transition,Пропущен второй член x^2 cos x.,toy_synthetic_baseline
lin-6-8-6038,linear_algebra,"Решите систему: \(x\) + y = 14, \(x\) - y = -2.",,Отсюда следует после сложения уравнений: 2x = 12.,Получаем x = 6.,1,correct,none,Сложение уравнений выполнено корректно.,toy_synthetic_baseline
lin-6-8-6038,linear_algebra,"Решите систему: \(x\) + y = 14, \(x\) - y = -2.",Отсюда следует после сложения уравнений: 2x = 12.,Получаем x = 6.,Тогда y = 14 - 6 = 8.,2,correct,none,Значение x найдено верно.,toy_synthetic_baseline
lin-6-8-6038,linear_algebra,"Решите систему: \(x\) + y = 14, \(x\) - y = -2.",Отсюда следует после сложения уравнений: 2x = 12. ||| Получаем x = 6.,Дальше сразу находим y.,"Ответ: x = 6, y = 8.",3,suspicious,missing_condition,Нет явной подстановки в одно из уравнений.,toy_synthetic_baseline
lin-6-8-6038,linear_algebra,"Решите систему: \(x\) + y = 14, \(x\) - y = -2.",Отсюда следует после сложения уравнений: 2x = 12. ||| Получаем x = 6.,Тогда y = 14 - 6 = 6.,"Ответ: x = 6, y = 6.",3,incorrect,wrong_substitution,Подстановка в первое уравнение дала неверное значение y.,toy_synthetic_baseline
lim-8962,calculus,Найдите предел lim_{x->0} sin(x)/x.,,При x -> 0 числитель и знаменатель стремятся к 0.,Используем замечательный предел.,1,correct,none,Неопределённость замечена верно.,toy_synthetic_baseline
lim-8962,calculus,Найдите предел lim_{x->0} sin(x)/x.,При x -> 0 числитель и знаменатель стремятся к 0.,Дальше применяем известный факт.,Предел равен 1.,2,suspicious,invalid_transition,Не назван конкретный замечательный предел.,toy_synthetic_baseline
lim-8962,calculus,Найдите предел lim_{x->0} sin(x)/x.,При x -> 0 числитель и знаменатель стремятся к 0.,"Следовательно, предел равен 1.",,2,incomplete,invalid_transition,Нужно сослаться на замечательный предел или доказать переход.,toy_synthetic_baseline
prob-7-3-5342,probability,В урне 7 красных и 3 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,,Вероятность первого красного шара равна 7/10.,Вероятность второго красного шара равна 6/9.,1,correct,none,Вероятность первого выбора записана верно.,toy_synthetic_baseline
prob-7-3-5342,probability,В урне 7 красных и 3 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,Вероятность первого красного шара равна 7/10.,Вероятность второго красного шара равна 7/10.,Перемножаем вероятности.,2,incorrect,probability_without_replacement,После первого выбора состав урны меняется.,toy_synthetic_baseline
prob-7-3-5342,probability,В урне 7 красных и 3 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,Вероятность первого красного шара равна 7/10.,Вероятность второго события аналогична первому.,Перемножаем вероятности.,2,suspicious,probability_without_replacement,Фраза скрывает условную вероятность при выборе без возвращения.,toy_synthetic_baseline
prob-7-3-5342,probability,В урне 7 красных и 3 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,Вероятность первого красного шара равна 7/10.,"Следовательно, вероятности нужно перемножить.",,3,incomplete,missing_condition,Не показана условная вероятность второго события.,toy_synthetic_baseline
int-5-4295,calculus,Найдите неопределённый интеграл ∫ x^5 dx.,,Используем степенную формулу интегрирования.,,1,correct,none,Выбрана подходящая формула.,toy_synthetic_baseline
int-5-4295,calculus,Найдите неопределённый интеграл ∫ x^5 dx.,Используем степенную формулу интегрирования.,∫ x^5 dx = x^6/6 + C.,,2,correct,none,Интеграл найден верно.,toy_synthetic_baseline
int-5-4295,calculus,Найдите неопределённый интеграл ∫ x^5 dx.,Используем степенную формулу интегрирования.,∫ x^5 dx = 5x^4 + C.,,2,incorrect,wrong_formula,Использована формула производной вместо интеграла.,toy_synthetic_baseline
condprob-119-45-22-2982,probability,Из 119 студентов 45 изучают Python. Среди изучающих Python 22 знают NumPy. Найдите P(NumPy | Python).,,P(NumPy | Python) = 22/45.,,1,correct,none,Условная вероятность берётся относительно группы Python.,toy_synthetic_baseline
condprob-119-45-22-2982,probability,Из 119 студентов 45 изучают Python. Среди изучающих Python 22 знают NumPy. Найдите P(NumPy | Python).,,P(NumPy | Python) = 22/119.,,1,incorrect,missing_condition,"Знаменатель должен быть числом изучающих Python, а не общим числом студентов.",toy_synthetic_baseline
condprob-119-45-22-2982,probability,Из 119 студентов 45 изучают Python. Среди изучающих Python 22 знают NumPy. Найдите P(NumPy | Python).,,Делим подходящее количество на общее.,,1,suspicious,missing_condition,"Неясно, какое множество используется как условие.",toy_synthetic_baseline
lim-4770,calculus,Найдите предел lim_{x->0} sin(x)/x.,,При x -> 0 числитель и знаменатель стремятся к 0.,Используем замечательный предел.,1,correct,none,Неопределённость замечена верно.,toy_synthetic_baseline
lim-4770,calculus,Найдите предел lim_{x->0} sin(x)/x.,При x -> 0 числитель и знаменатель стремятся к 0.,Дальше применяем известный факт.,Предел равен 1.,2,suspicious,invalid_transition,Не назван конкретный замечательный предел.,toy_synthetic_baseline
lim-4770,calculus,Найдите предел lim_{x->0} sin(x)/x.,При x -> 0 числитель и знаменатель стремятся к 0.,"Следовательно, предел равен 1.",,2,incomplete,invalid_transition,Нужно сослаться на замечательный предел или доказать переход.,toy_synthetic_baseline
mat-0--3--2--3-2160,linear_algebra,"Найдите determinant матрицы [[0, -3], [-2, -3]].",,det A = 0*-3 - -3*-2.,det A = -6.,1,correct,none,Формула определителя 2x2 записана верно.,toy_synthetic_baseline
mat-0--3--2--3-2160,linear_algebra,"Найдите determinant матрицы [[0, -3], [-2, -3]].",,det A = 0*-3 + -3*-2 = 6.,,1,incorrect,sign_error,В формуле определителя нужен минус.,toy_synthetic_baseline
mat-0--3--2--3-2160,linear_algebra,"Найдите determinant матрицы [[0, -3], [-2, -3]].",det A = 0*-3 - -3*-2.,Ответ: det A = -6.,,2,correct,none,Ответ согласован с вычислением.,toy_synthetic_baseline
int-2-8744,calculus,Найдите неопределённый интеграл ∫ x^2 dx.,,Используем степенную формулу интегрирования.,,1,correct,none,Выбрана подходящая формула.,toy_synthetic_baseline
int-2-8744,calculus,Найдите неопределённый интеграл ∫ x^2 dx.,Используем степенную формулу интегрирования.,∫ x^2 dx = x^3/3 + C.,,2,correct,none,Интеграл найден верно.,toy_synthetic_baseline
int-2-8744,calculus,Найдите неопределённый интеграл ∫ x^2 dx.,Используем степенную формулу интегрирования.,∫ x^2 dx = 2x^1 + C.,,2,incorrect,wrong_formula,Использована формула производной вместо интеграла.,toy_synthetic_baseline
lim-2588,calculus,Найдите предел lim_{x->0} sin(x)/x.,,При x -> 0 числитель и знаменатель стремятся к 0.,Используем замечательный предел.,1,correct,none,Неопределённость замечена верно.,toy_synthetic_baseline
lim-2588,calculus,Найдите предел lim_{x->0} sin(x)/x.,При x -> 0 числитель и знаменатель стремятся к 0.,Дальше применяем известный факт.,Предел равен 1.,2,suspicious,invalid_transition,Не назван конкретный замечательный предел.,toy_synthetic_baseline
lim-2588,calculus,Найдите предел lim_{x->0} sin(x)/x.,При x -> 0 числитель и знаменатель стремятся к 0.,"Следовательно, предел равен 1.",,2,incomplete,invalid_transition,Нужно сослаться на замечательный предел или доказать переход.,toy_synthetic_baseline
comb-8-3-2612,combinatorics,Сколькими способами можно выбрать 3 объектов из 8?,,"Используем сочетания C(8,3).",,1,correct,none,"Порядок выбора не важен, поэтому нужны сочетания.",toy_synthetic_baseline
comb-8-3-2612,combinatorics,Сколькими способами можно выбрать 3 объектов из 8?,,"Используем размещения A(8,3).",,1,incorrect,wrong_formula,"Выбранная формула учитывает порядок, которого нет в условии.",toy_synthetic_baseline
comb-8-3-2612,combinatorics,Сколькими способами можно выбрать 3 объектов из 8?,"Используем C(8,3).",Очевидно получаем число способов.,,2,suspicious,invalid_transition,Не показано вычисление сочетаний.,toy_synthetic_baseline
quad-6-3-7912,algebra,Решите квадратное уравнение x^2 -9x +18=0.,,Дискриминант D = (-9)^2 - 4*1*18 = 9.,,1,correct,none,Дискриминант вычислен верно.,toy_synthetic_baseline
quad-6-3-7912,algebra,Решите квадратное уравнение x^2 -9x +18=0.,,Дискриминант D = (-9)^2 - 4*1*18 = 5.,,1,incorrect,calculation_error,Дискриминант посчитан неверно.,toy_synthetic_baseline
quad-6-3-7912,algebra,Решите квадратное уравнение x^2 -9x +18=0.,D = 9.,"Итак, x = 6 или x = 3.",,2,correct,none,Корни соответствуют уравнению.,toy_synthetic_baseline
arith-16-9-1828,arithmetic,Вычислите 16 + 9.,,Можно записать сумму чисел.,16 + 9 = 25.,1,correct,none,План вычисления корректен.,toy_synthetic_baseline
arith-16-9-1828,arithmetic,Вычислите 16 + 9.,Можно записать сумму чисел.,Очевидно получаем ответ.,Ответ: 25.,2,suspicious,invalid_transition,Шаг слишком общий и не содержит вычисления.,toy_synthetic_baseline
arith-16-9-1828,arithmetic,Вычислите 16 + 9.,Можно записать сумму чисел.,16 + 9 = 23.,Ответ: 23.,2,incorrect,calculation_error,Правильная сумма равна 25.,toy_synthetic_baseline
arith-16-9-1828,arithmetic,Вычислите 16 + 9.,16 + 9 = 25.,Ответ: 23.,,3,incorrect,wrong_final_answer,Финальный ответ не совпадает с вычислением.,toy_synthetic_baseline
prob-4-3-1960,probability,В урне 4 красных и 3 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,,Вероятность первого красного шара равна 4/7.,Вероятность второго красного шара равна 3/6.,1,correct,none,Вероятность первого выбора записана верно.,toy_synthetic_baseline
prob-4-3-1960,probability,В урне 4 красных и 3 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,Вероятность первого красного шара равна 4/7.,Вероятность второго красного шара равна 4/7.,Перемножаем вероятности.,2,incorrect,probability_without_replacement,После первого выбора состав урны меняется.,toy_synthetic_baseline
prob-4-3-1960,probability,В урне 4 красных и 3 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,Вероятность первого красного шара равна 4/7.,Вероятность второго события аналогична первому.,Перемножаем вероятности.,2,suspicious,probability_without_replacement,Фраза скрывает условную вероятность при выборе без возвращения.,toy_synthetic_baseline
prob-4-3-1960,probability,В урне 4 красных и 3 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,Вероятность первого красного шара равна 4/7.,"Следовательно, вероятности нужно перемножить.",,3,incomplete,missing_condition,Не показана условная вероятность второго события.,toy_synthetic_baseline
calc-8454,calculus,Найдите производную функции f(x)=x^2 sin x.,,Используем правило произведения.,"(x^2)'=2x, (sin x)'=cos x.",1,correct,none,Правило выбрано верно.,toy_synthetic_baseline
calc-8454,calculus,Найдите производную функции f(x)=x^2 sin x.,Используем правило произведения.,Производная sin x равна -cos x.,,2,incorrect,wrong_formula,Производная sin x равна cos x.,toy_synthetic_baseline
calc-8454,calculus,Найдите производную функции f(x)=x^2 sin x.,Используем правило произведения.,После дифференцирования получаем итоговую формулу.,,2,suspicious,invalid_transition,Не показаны производные множителей и подстановка в правило.,toy_synthetic_baseline
calc-8454,calculus,Найдите производную функции f(x)=x^2 sin x.,Используем правило произведения.,"Следовательно, f'(x)=2x sin x.",,3,incomplete,invalid_transition,Пропущен второй член x^2 cos x.,toy_synthetic_baseline
arith-15-24-4566,arithmetic,Вычислите 15 + 24.,,Получаем сумму чисел.,15 + 24 = 39.,1,correct,none,План вычисления корректен.,toy_synthetic_baseline
arith-15-24-4566,arithmetic,Вычислите 15 + 24.,Получаем сумму чисел.,Очевидно получаем ответ.,Ответ: 39.,2,suspicious,invalid_transition,Шаг слишком общий и не содержит вычисления.,toy_synthetic_baseline
arith-15-24-4566,arithmetic,Вычислите 15 + 24.,Получаем сумму чисел.,15 + 24 = 42.,Ответ: 42.,2,incorrect,calculation_error,Правильная сумма равна 39.,toy_synthetic_baseline
arith-15-24-4566,arithmetic,Вычислите 15 + 24.,15 + 24 = 39.,Ответ: 42.,,3,incorrect,wrong_final_answer,Финальный ответ не совпадает с вычислением.,toy_synthetic_baseline
condprob-120-23-4-3579,probability,Из 120 студентов 23 изучают Python. Среди изучающих Python 4 знают NumPy. Найдите P(NumPy | Python).,,P(NumPy | Python) = 4/23.,,1,correct,none,Условная вероятность берётся относительно группы Python.,toy_synthetic_baseline
condprob-120-23-4-3579,probability,Из 120 студентов 23 изучают Python. Среди изучающих Python 4 знают NumPy. Найдите P(NumPy | Python).,,P(NumPy | Python) = 4/120.,,1,incorrect,missing_condition,"Знаменатель должен быть числом изучающих Python, а не общим числом студентов.",toy_synthetic_baseline
condprob-120-23-4-3579,probability,Из 120 студентов 23 изучают Python. Среди изучающих Python 4 знают NumPy. Найдите P(NumPy | Python).,,Делим подходящее количество на общее.,,1,suspicious,missing_condition,"Неясно, какое множество используется как условие.",toy_synthetic_baseline
lin-2-3-2964,linear_algebra,"Решите систему: x + y = 5, x - y = -1.",,Можно записать после сложения уравнений: 2x = 4.,Отсюда следует x = 2.,1,correct,none,Сложение уравнений выполнено корректно.,toy_synthetic_baseline
lin-2-3-2964,linear_algebra,"Решите систему: x + y = 5, x - y = -1.",Можно записать после сложения уравнений: 2x = 4.,Отсюда следует x = 2.,Тогда y = 5 - 2 = 3.,2,correct,none,Значение x найдено верно.,toy_synthetic_baseline
lin-2-3-2964,linear_algebra,"Решите систему: x + y = 5, x - y = -1.",Можно записать после сложения уравнений: 2x = 4. ||| Отсюда следует x = 2.,Дальше сразу находим y.,"Ответ: x = 2, y = 3.",3,suspicious,missing_condition,Нет явной подстановки в одно из уравнений.,toy_synthetic_baseline
lin-2-3-2964,linear_algebra,"Решите систему: x + y = 5, x - y = -1.",Можно записать после сложения уравнений: 2x = 4. ||| Отсюда следует x = 2.,Тогда y = 5 - 2 = 1.,"Ответ: x = 2, y = 1.",3,incorrect,wrong_substitution,Подстановка в первое уравнение дала неверное значение y.,toy_synthetic_baseline
mat--3--2-3-5-6147,linear_algebra,"Найдите determinant матрицы [[-3, -2], [3, 5]].",,det A = -3*5 - -2*3.,det A = -9.,1,correct,none,Формула определителя 2x2 записана верно.,toy_synthetic_baseline
mat--3--2-3-5-6147,linear_algebra,"Найдите determinant матрицы [[-3, -2], [3, 5]].",,det A = -3*5 + -2*3 = -21.,,1,incorrect,sign_error,В формуле определителя нужен минус.,toy_synthetic_baseline
mat--3--2-3-5-6147,linear_algebra,"Найдите determinant матрицы [[-3, -2], [3, 5]].",det A = -3*5 - -2*3.,Ответ: det A = -9.,,2,correct,none,Ответ согласован с вычислением.,toy_synthetic_baseline
lim-8491,calculus,Найдите предел lim_{x->0} sin(x)/x.,,При x -> 0 числитель и знаменатель стремятся к 0.,Используем замечательный предел.,1,correct,none,Неопределённость замечена верно.,toy_synthetic_baseline
